Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
Q5SRD1,0.10106382978723404,0.026595744680851064,0.047872340425531915,0.0425531914893617,0.026595744680851064,0.02127659574468085,0.0425531914893617,0.14893617021276595,0.005319148936170213,0.026595744680851064,0.11702127659574468,0.031914893617021274,0.047872340425531915,0.047872340425531915,0.03723404255319149,0.047872340425531915,0.0851063829787234,0.015957446808510637,0.026595744680851064,0.05319148936170213,7,6,4,1,1,2,0,3,1,4,0,2,2,0,1,3,4,3,0,1,1,1,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,3,2,1,0,0,1,6,2,1,2,0,1,0,2,2,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,4,1,5,0,0,0,0,0,5,1,0,0,0,1,2,1,1,0,1,0,1,2,2,0,1,0,0,0,0,1,0,1,0,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,2,1,2,0,0,0,1,1,1,0,0,1,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.058823529411764705,-1.2994652406417113,-1.0267379679144386,-1.4973262032085561,-1.9090909090909092,-0.9625668449197861,-1.1497326203208555,0.11764705882352941,-1.6524064171122994,-1.2192513368983957,-1.1657754010695187,-0.9625668449197861,-0.6898395721925134,-1.213903743315508,-1.4705882352941178,-0.13368983957219252,-0.40641711229946526,-2.1336898395721926,-1.2245989304812834,-0.946524064171123
Q5SRE5,0.06918238993710692,0.050314465408805034,0.022870211549456832,0.046883933676386505,0.024585477415666093,0.058319039451114926,0.0577472841623785,0.04974271012006861,0.029159519725557463,0.04516866781017725,0.15208690680388792,0.04345340194396798,0.02801600914808462,0.030874785591766724,0.04288164665523156,0.08061749571183534,0.06289308176100629,0.012006861063464836,0.029159519725557463,0.06403659233847914,14,12,16,11,2,7,0,16,16,21,14,8,8,1,19,12,10,7,4,9,0,8,14,11,5,2,2,1,5,2,6,4,2,2,0,7,10,8,3,4,4,2,2,2,3,0,2,1,0,16,22,15,12,4,13,4,23,38,27,16,13,15,5,19,23,18,18,13,6,3,9,17,11,6,7,4,1,2,11,10,3,6,2,0,5,11,11,5,11,2,1,3,3,2,6,0,2,0,9,23,9,7,7,11,3,19,30,17,12,5,12,3,8,27,11,3,4,6,3,6,11,10,1,7,6,0,9,7,8,3,2,5,0,9,11,3,4,6,4,1,2,1,1,1,1,2,0,11,7,8,5,4,1,1,14,19,12,5,3,6,2,5,15,8,6,4,7,0,3,6,4,2,4,3,0,3,4,9,5,2,4,0,2,4,4,1,5,1,0,1,3,0,1,0,0,0,6,8,5,1,3,1,1,7,12,9,3,3,1,2,11,13,5,4,6,3,1,5,5,4,3,4,1,1,3,3,3,3,1,4,0,3,4,2,3,1,6,0,0,0,0,0,0,0,0,5,10,5,5,1,4,1,5,19,12,4,2,3,2,6,7,9,2,2,6,0,3,6,4,4,3,0,2,3,9,6,3,4,2,0,3,7,3,5,0,2,0,2,1,1,0,0,0,0,1,2,4,2,0,1,0,2,3,2,1,0,1,1,1,1,1,1,1,1,1,3,2,1,1,0,1,0,0,1,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.46281464530892447,-0.8043478260869565,-0.8752860411899314,-1.1041189931350115,-1.5600686498855836,-0.3169336384439359,-0.6024027459954233,-1.624141876430206,-1.0429061784897025,-0.7128146453089245,-0.4862700228832952,-0.6859267734553776,-0.33981693363844395,-1.1516018306636155,-1.3026315789473684,-0.28489702517162474,-0.272883295194508,-2.147025171624714,-1.0303203661327232,-0.63558352402746
Q5T160,0.06055363321799308,0.05363321799307959,0.0328719723183391,0.05536332179930796,0.01384083044982699,0.0657439446366782,0.06055363321799308,0.06228373702422145,0.02422145328719723,0.050173010380622836,0.12110726643598616,0.06920415224913495,0.020761245674740483,0.05190311418685121,0.025951557093425604,0.07093425605536333,0.04671280276816609,0.006920415224913495,0.031141868512110725,0.07612456747404844,7,6,5,2,3,3,0,4,6,3,3,3,2,0,3,7,2,3,5,3,1,6,3,1,4,0,2,0,1,4,3,0,2,3,0,2,2,1,1,2,4,0,2,0,0,0,0,0,0,5,2,5,5,5,4,1,8,4,6,8,2,3,0,5,4,7,3,3,5,0,4,7,4,2,3,1,1,2,5,3,2,4,2,0,4,2,2,6,4,0,0,1,0,0,0,0,0,0,2,3,6,3,2,4,1,3,6,5,2,2,5,0,2,4,0,1,3,2,0,0,8,0,1,0,1,0,1,5,5,2,0,4,1,3,2,1,1,1,3,1,0,1,0,0,0,0,0,4,4,4,2,1,1,0,6,6,5,2,6,6,1,1,3,2,1,2,0,0,1,6,0,0,0,0,1,0,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,4,0,0,2,0,0,0,4,3,4,6,2,2,0,6,4,1,2,1,2,0,4,3,1,1,0,0,0,2,1,2,2,0,0,0,3,2,2,1,1,2,0,1,0,0,0,0,0,0,4,3,3,2,2,0,0,2,6,3,1,3,0,0,4,1,0,0,3,0,0,1,5,3,0,0,1,0,0,3,3,3,0,1,0,1,6,1,0,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.682842287694974,-1.4090121317157713,-1.441941074523397,-1.3864818024263432,-3.1611785095320624,-1.3570190641247835,-1.0190641247833623,-2.1559792027729636,-1.759098786828423,-1.3500866551126516,-1.3570190641247835,-1.001733102253033,-1.5476603119584056,-1.9393414211438476,-2.4263431542461005,-1.3240901213171576,-1.3327556325823224,-3.147313691507799,-1.7175043327556325,-1.3535528596187174
Q5T3I0,0.07399103139013453,0.08520179372197309,0.03587443946188341,0.04932735426008968,0.008968609865470852,0.06502242152466367,0.1210762331838565,0.08744394618834081,0.03139013452914798,0.013452914798206279,0.06502242152466367,0.13901345291479822,0.013452914798206279,0.011210762331838564,0.02914798206278027,0.06278026905829596,0.05605381165919283,0.008968609865470852,0.006726457399103139,0.03587443946188341,6,3,3,1,2,5,0,3,1,0,1,4,2,0,3,0,3,1,4,2,0,0,1,4,1,1,3,0,3,2,7,2,1,2,0,0,3,1,3,5,4,1,0,0,0,0,0,0,0,2,1,2,3,1,0,0,1,0,1,2,2,2,0,3,0,0,1,2,1,0,2,3,0,3,1,1,0,4,2,2,1,0,1,0,2,0,0,3,2,2,0,0,0,0,0,0,0,0,4,0,3,2,4,2,0,2,2,2,0,0,1,0,4,2,1,0,0,1,0,2,2,0,1,0,1,0,5,1,2,1,2,1,0,4,1,1,1,1,2,0,1,1,1,0,0,0,0,3,0,3,1,3,1,0,1,2,0,1,2,2,0,0,3,0,2,1,1,0,0,0,3,8,5,2,0,0,2,0,0,7,2,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,3,5,1,1,5,5,0,1,2,3,4,1,0,0,3,1,4,1,4,4,1,2,2,1,0,2,0,0,4,4,4,1,22,0,0,1,0,1,1,1,5,0,0,0,0,0,0,0,0,2,2,1,1,1,4,0,1,1,1,2,1,1,0,2,1,0,1,1,0,2,5,0,0,5,2,0,0,4,0,3,2,3,3,0,3,2,4,3,3,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3797752808988764,0.14382022471910114,-0.23820224719101124,0.2966292134831461,-2.348314606741573,0.43820224719101125,1.1752808988764045,-0.748314606741573,-0.7168539325842697,-1.7303370786516854,-1.6719101123595506,0.8921348314606742,-1.2269662921348314,-2.2719101123595506,0.10337078651685393,0.23820224719101124,-0.11685393258426967,-2.58876404494382,-1.7752808988764044,-1.2404494382022473
Q5TEC6,0.125,0.1323529411764706,0.007352941176470588,0.022058823529411766,0.007352941176470588,0.058823529411764705,0.058823529411764705,0.051470588235294115,0.014705882352941176,0.051470588235294115,0.08823529411764706,0.09558823529411764,0.022058823529411766,0.029411764705882353,0.04411764705882353,0.04411764705882353,0.07352941176470588,0.0,0.022058823529411766,0.051470588235294115,1,1,4,0,1,0,0,1,0,1,2,2,1,0,3,0,2,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,1,1,2,0,0,1,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,1,2,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1,0,2,1,1,0,1,3,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37037037037037035,0.07407407407407407,-1.4148148148148147,-1.8814814814814815,-2.185185185185185,-0.4740740740740741,-0.9629629629629629,-1.8592592592592592,-1.1111111111111112,-1.5407407407407407,-1.4814814814814814,-0.2518518518518518,-0.8740740740740741,-2.140740740740741,-1.2518518518518518,-0.4962962962962963,-0.5407407407407407,-2.925925925925926,-1.8074074074074074,-1.2740740740740741
Q5VWC4,0.1,0.042105263157894736,0.04736842105263158,0.07368421052631578,0.010526315789473684,0.04473684210526316,0.09473684210526316,0.07368421052631578,0.015789473684210527,0.042105263157894736,0.08947368421052632,0.06315789473684211,0.034210526315789476,0.02631578947368421,0.042105263157894736,0.06842105263157895,0.06315789473684211,0.0,0.007894736842105263,0.060526315789473685,3,5,1,2,2,3,0,5,4,5,5,1,6,0,5,2,3,2,1,2,1,2,3,1,1,3,0,0,0,3,0,0,1,1,0,3,1,2,2,2,3,1,1,0,0,0,0,0,0,2,6,6,0,0,4,0,5,2,1,1,2,3,0,3,4,4,1,0,0,0,3,1,2,0,0,2,0,3,0,3,0,1,1,0,7,4,2,2,1,0,0,0,0,0,0,0,0,0,4,4,5,2,1,3,0,2,4,2,0,2,2,0,3,3,3,1,1,3,0,2,2,1,0,0,1,1,1,1,2,1,0,0,0,1,2,2,0,1,1,0,0,1,0,0,0,0,0,2,3,1,1,1,1,0,0,2,2,0,2,1,0,4,1,0,0,1,0,0,1,1,1,0,1,1,0,1,2,1,3,0,0,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,4,1,2,1,2,0,4,1,0,1,1,0,0,1,2,1,1,2,0,0,0,0,0,1,2,1,0,3,1,0,0,0,2,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,5,3,2,3,0,1,1,2,1,1,1,0,4,0,3,0,3,2,0,2,0,1,0,1,3,1,1,0,2,0,1,0,3,2,0,2,0,3,1,2,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.20580474934036938,-0.8496042216358839,-0.47229551451187335,-0.5620052770448549,-1.849604221635884,-0.16094986807387862,-0.18469656992084432,-1.1451187335092348,-1.1609498680738786,-1.2559366754617414,-1.2110817941952507,-0.525065963060686,-0.6912928759894459,-1.8179419525065963,-1.1372031662269129,-0.06860158311345646,-0.21635883905013192,-2.569920844327177,-1.5804749340369393,-0.9577836411609498
Q5W0B1,0.0371900826446281,0.03856749311294766,0.06198347107438017,0.05785123966942149,0.03168044077134986,0.04269972451790634,0.09504132231404959,0.03581267217630854,0.01928374655647383,0.03305785123966942,0.10055096418732783,0.09090909090909091,0.01652892561983471,0.027548209366391185,0.04132231404958678,0.15426997245179064,0.049586776859504134,0.008264462809917356,0.013774104683195593,0.0440771349862259,3,2,3,3,0,2,0,1,2,3,4,4,0,3,0,1,4,4,3,2,0,2,0,4,4,1,4,0,2,1,5,0,1,1,1,3,2,3,0,3,2,0,0,0,0,0,0,1,0,2,4,3,3,2,1,1,2,4,5,0,2,5,1,5,9,7,5,6,0,2,1,4,2,3,5,4,1,2,3,4,6,5,3,0,2,5,6,2,2,8,0,0,4,3,1,0,2,0,4,4,1,4,4,4,0,3,7,8,4,5,8,2,4,7,18,5,3,9,1,3,7,3,2,2,2,1,0,7,5,2,2,4,0,1,6,5,2,4,0,2,0,2,0,1,0,0,1,2,2,4,3,0,2,0,2,2,4,1,3,3,3,3,4,4,2,0,6,0,4,2,1,3,2,0,1,2,2,3,1,4,1,0,3,4,5,2,2,1,0,0,2,1,0,0,0,0,0,4,3,0,2,1,0,1,1,2,6,5,2,0,4,7,4,2,3,0,1,2,3,4,0,2,5,0,2,3,3,2,2,2,0,1,5,4,1,0,3,0,1,1,0,0,0,0,0,2,0,1,2,3,3,0,3,3,9,3,3,6,1,5,6,9,2,4,3,0,1,1,4,1,1,2,0,2,1,1,5,0,3,1,1,5,4,2,2,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,3,2,1,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,-0.6372413793103449,-0.33655172413793105,-0.4579310344827586,-0.5944827586206897,-1.1379310344827587,0.10620689655172413,0.16689655172413792,-1.5751724137931034,-0.5489655172413793,-1.3558620689655172,-0.9682758620689655,-0.04827586206896552,-0.8041379310344827,-1.6551724137931034,-1.096551724137931,0.12827586206896552,-0.4703448275862069,-2.5048275862068965,-1.486896551724138,-1.1379310344827587
Q5XKP0,0.11016949152542373,0.0423728813559322,0.00847457627118644,0.025423728813559324,0.00847457627118644,0.07627118644067797,0.0423728813559322,0.06779661016949153,0.0,0.0423728813559322,0.07627118644067797,0.06779661016949153,0.0423728813559322,0.025423728813559324,0.07627118644067797,0.0847457627118644,0.025423728813559324,0.025423728813559324,0.059322033898305086,0.09322033898305085,4,0,3,2,1,1,0,0,3,1,0,0,0,0,1,1,2,2,0,1,0,0,0,1,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,2,2,1,2,1,1,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,4,0,1,1,1,0,0,2,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26495726495726496,-0.811965811965812,-1.0854700854700854,-1.2820512820512822,-1.8717948717948718,-0.3504273504273504,-0.6153846153846154,-1.1623931623931625,-1.0940170940170941,-1.0769230769230769,-1.0598290598290598,-0.38461538461538464,-0.6495726495726496,-1.2307692307692308,-0.9572649572649573,-0.3247863247863248,-0.4188034188034188,-1.8547008547008548,-0.8376068376068376,-0.717948717948718
Q60700,0.057432432432432436,0.06644144144144144,0.02252252252252252,0.0518018018018018,0.02027027027027027,0.03490990990990991,0.08108108108108109,0.10247747747747747,0.02702702702702703,0.02927927927927928,0.10585585585585586,0.0472972972972973,0.019144144144144143,0.02027027027027027,0.09684684684684684,0.09797297297297297,0.04504504504504504,0.013513513513513514,0.01126126126126126,0.04954954954954955,14,14,7,4,7,7,0,8,12,9,0,2,6,1,11,5,2,3,0,1,0,4,6,3,1,2,1,0,7,5,4,1,4,2,0,3,6,7,3,4,6,0,0,1,1,1,0,0,0,17,4,6,7,4,7,1,13,13,7,3,4,14,2,6,13,9,6,2,3,1,1,8,1,2,4,1,0,5,4,1,4,4,3,0,6,9,7,4,6,4,0,4,0,3,0,1,0,0,9,11,4,1,4,6,0,7,12,9,5,3,3,0,7,8,5,3,3,4,0,4,4,4,1,1,3,1,2,5,3,0,1,2,0,3,3,1,3,1,2,1,1,1,1,0,0,1,0,4,2,1,2,1,1,1,6,6,6,4,3,4,2,3,3,1,1,3,0,2,1,2,2,2,1,0,1,0,7,2,2,1,0,0,2,1,2,1,2,0,0,0,0,0,2,0,0,0,7,3,2,0,4,2,0,7,7,3,1,3,6,2,3,3,3,3,2,2,0,1,4,2,0,2,2,0,1,4,4,2,2,2,0,0,5,4,0,1,2,0,0,0,0,0,0,0,0,1,2,2,3,3,5,1,4,5,6,4,6,2,1,3,7,9,2,3,3,0,1,6,0,3,1,1,0,3,4,2,2,2,3,0,3,4,4,1,2,3,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0,2,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.7564825253664036,-0.5152198421645998,-0.7305524239007892,-1.0,-1.923337091319053,-0.36302142051860203,-0.4859075535512965,-1.4926719278466742,-0.9842164599774521,-1.4565952649379932,-1.1307779030439684,-0.49943630214205187,-1.0552423900789176,-1.8883878241262684,-0.24351747463359638,0.13641488162344984,-0.48928974069898534,-2.9391206313416007,-1.7282976324689967,-1.2762119503945886
Q60770,0.052364864864864864,0.05067567567567568,0.03885135135135135,0.07263513513513513,0.02702702702702703,0.030405405405405407,0.07432432432432433,0.03547297297297297,0.016891891891891893,0.06925675675675676,0.0945945945945946,0.10472972972972973,0.02702702702702703,0.03209459459459459,0.04391891891891892,0.07263513513513513,0.048986486486486486,0.011824324324324325,0.033783783783783786,0.0625,2,5,3,1,2,2,0,2,6,1,6,1,4,1,5,2,1,0,4,0,0,0,3,3,3,2,1,0,1,3,2,1,1,4,0,1,2,5,0,3,2,1,1,0,0,0,1,0,0,6,6,4,0,4,5,0,8,9,6,2,6,3,1,3,9,4,2,3,3,0,2,5,4,0,2,5,0,2,2,5,5,3,3,0,0,3,3,2,5,4,0,0,1,0,0,1,1,0,3,6,1,7,3,2,2,5,5,4,6,2,5,0,4,5,2,0,2,3,1,0,0,2,1,2,0,0,3,5,5,2,2,1,2,0,2,2,2,1,3,0,0,0,3,0,0,1,0,3,1,0,1,0,1,0,2,4,4,1,1,2,0,1,3,1,2,2,1,1,1,1,1,0,2,0,0,3,1,3,2,2,0,0,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,1,5,5,1,5,1,0,4,5,4,1,5,2,2,3,3,1,0,3,2,0,0,4,3,1,0,3,1,1,4,2,0,3,1,1,0,1,0,0,1,1,1,0,2,3,0,0,2,0,7,6,4,2,4,1,1,6,2,3,0,3,1,0,0,2,0,1,0,2,0,2,3,3,1,3,1,1,2,10,2,0,1,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,-0.7597292724196277,-0.8341793570219966,-0.8426395939086294,-0.9576988155668359,-2.0981387478849407,-0.5380710659898477,-0.5634517766497462,-1.8341793570219966,-1.194585448392555,-0.9238578680203046,-0.7732656514382402,-0.4720812182741117,-0.6463620981387479,-1.3401015228426396,-1.6480541455160744,-0.4602368866328257,-0.5532994923857868,-2.6835871404399323,-1.2656514382402708,-0.8443316412859561
Q60932,0.06756756756756757,0.02364864864864865,0.07094594594594594,0.0472972972972973,0.010135135135135136,0.030405405405405407,0.05067567567567568,0.10810810810810811,0.010135135135135136,0.033783783783783786,0.10810810810810811,0.08445945945945946,0.010135135135135136,0.05405405405405406,0.02027027027027027,0.06756756756756757,0.09797297297297297,0.016891891891891893,0.037162162162162164,0.05067567567567568,2,5,3,1,1,0,0,6,2,1,5,3,3,0,2,3,2,3,2,2,0,2,1,2,0,2,1,0,2,1,3,1,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,3,8,3,1,1,1,0,4,2,2,0,0,0,0,2,5,2,2,0,0,1,2,2,2,0,0,2,0,1,4,1,1,1,0,0,3,4,2,0,0,1,0,1,0,0,0,0,0,0,3,3,2,1,2,1,0,3,1,4,0,2,2,1,1,2,1,1,0,3,0,3,2,4,3,1,1,0,2,2,4,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,3,1,1,2,3,1,0,0,1,1,2,0,2,0,2,1,1,4,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,2,3,1,0,1,0,2,1,2,0,1,1,0,2,1,2,1,3,1,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,1,2,1,2,2,0,3,1,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23728813559322035,-1.3016949152542372,-0.5254237288135594,-1.264406779661017,-2.0406779661016947,-0.7694915254237288,-1.1491525423728814,-0.9661016949152542,-1.1864406779661016,-1.1491525423728814,-0.8610169491525423,-0.7152542372881356,-0.9728813559322034,-1.0576271186440678,-1.6508474576271186,-0.1152542372881356,0.05084745762711865,-2.3389830508474576,-1.193220338983051,-0.7254237288135593
